Instrument
guitar
singing
voice
piano
drum
acoustic guitar
ukulele
electric guitar
banjo
upright piano
keyboard instrument
synthesizer
FL Studio
Logic Pro
digital audio workstation
acoustic-electric guitar
Vocals
drum kit
sampler
drum machine
MIDI keyboard
flute
bass guitar
percussion instrument
Bajo sexto
Bajo quinto
